law_type_version,valid_from,valid_to
中华人民共和国民事诉讼法(2023修正),2024.01.01,2099.12.31
中华人民共和国民事诉讼法(2021修正),2022.01.01,2023.12.31
中华人民共和国民事诉讼法(2017修正),2017.07.01,2021.12.31
中华人民共和国民事诉讼法(2012修正),2013.01.01,2017.06.30
中华人民共和国民事诉讼法(2007修正),2008.04.01,2012.12.31
中华人民共和国民事诉讼法,1991.04.09,2008.03.31
中华人民共和国民事诉讼法(试行),1982.10.01,1991.04.08
中华人民共和国民法典,2021.01.01,2099.12.31
中华人民共和国侵权责任法,2010.07.01,2020.12.31
中华人民共和国刑事诉讼法(2018修正),2018.10.26,2099.12.31
中华人民共和国刑事诉讼法(2012修正),2013.01.01,2018.10.25
中华人民共和国刑事诉讼法(1996修正),1997.01.01,2012.12.31
中华人民共和国刑事诉讼法,1980.01.01,1996.12.31
中华人民共和国逮捕拘留条例(1979),1979.02.23,1979.12.31
中华人民共和国逮捕拘留条例,1954.12.20,1979.02.22
中华人民共和国继承法,1985.10.01,2020.12.31
中华人民共和国婚姻法(2001修正),2001.04.28,2020.12.31
中华人民共和国婚姻法(1980),1981.01.01,2001.04.27
中华人民共和国婚姻法,1950.05.01,1980.12.31
中华人民共和国劳动合同法(2012修正),2013.07.01,2099.12.31
中华人民共和国劳动合同法,2008.01.01,2013.06.30
中华人民共和国合同法,1999.10.01,2020.12.31
中华人民共和国经济合同法(1993修正),1993.09.02,1999.9.30
中华人民共和国技术合同法,1987.11.01,1999.9.30
中华人民共和国涉外经济合同法,1985.07.01,1999.9.30
中华人民共和国经济合同法,1982.07.01,1993.09.01
中华人民共和国收养法(1998修正),1999.04.01,2020.12.31
中华人民共和国收养法,1992.04.01,1999.03.30
中华人民共和国担保法,1995.10.01,2020.12.31
中华人民共和国刑法(2023修正),2024.03.01,2099.12.31
中华人民共和国刑法(2020修正),2021.03.01,2024.02.29
中华人民共和国刑法(2017修正),2017.11.04,2021.02.28
中华人民共和国刑法(2015修正),2015.11.01,2017.11.03
中华人民共和国刑法(2011修正),2011.05.01,2015.10.30
中华人民共和国刑法(2009第二次修正),2009.08.27,2011.04.30
中华人民共和国刑法(2009修正),2009.02.28,2009.08.26
中华人民共和国刑法(2006修正),2006.06.29,2009.02.27
中华人民共和国刑法(2005修正),2005.02.28,2006.06.28
中华人民共和国刑法(2002修正),2002.12.28,2005.02.27
中华人民共和国刑法(2001第二次修正),2001.12.29,2002.12.27
中华人民共和国刑法(2001修正),2001.08.31,2001.12.28
中华人民共和国刑法(1999修正),1999.12.25,2001.08.30
中华人民共和国刑法(1998修正),1998.12.29,1999.12.24
中华人民共和国刑法(1997修订),1997.10.01,1998.12.28
中华人民共和国刑法,1980.01.01,1997.09.30
中华人民共和国物权法,2007.10.01,2020.12.31
中华人民共和国民法总则,2017.10.01,2020.12.31
中华人民共和国民法通则(2009修正),2009.08.27,2017.09.30
中华人民共和国民法通则,1987.01.01,2009.08.26
